_id,LoopsGuide,Loop,TourNum,OrderNum,LoopTourName,LoopTourURL,TourLabel,SiteName,Neighbourhood,TourType,Duration,EntryType,Interests,DirectionsTransit,DirectionsCar,Description,Address,Latitude,Longitude,ExternalLink,ImageCredit,ImageCreditExternalLink,ImageAltText,ImageURL,ThumbURL,ImageOrientation,test1,test2,test3,ObjectId,geometry
3120,Scarborough,3,1,19,Art Discovery Tour,NA,NA,Scarborough War Memorial,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"The Scarborough War Memorial, constructed of limestone and bronze, is one of the oldest monuments in the south Scarborough area. It was erected in 1931 to honour soldiers fallen during the First World War. It was unveiled by Fleet Admiral Earl Jellicoe and Ontario Premier George S. Henry. Subsequent memorial plaques were added to honour those who fought in the Second World War and the Korean War.",2190 Kingston Rd.,NA,NA,NA,NA,NA,A cross mounted on a stone base with plaques.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/ScarboroughWarMemorial.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ScarboroughWarMemorial.jpg,Landscape,NA,NA,NA,435,"c(-79.253816, 43.703384)"
3121,Scarborough,3,1,20,Art Discovery Tour,NA,NA,"H.M. Schooner, Onondaga c. 1793","Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Painted by Jeff Jackson in 1992, this mural celebrates the Onondaga, a ship that was built near Kingston in 1790, and served as flagship of the Provincial Marine until her retirement seven years later. This was the ship in which Lieutenant Governor John Graves Simcoe and his wife Elizabeth sailed across Lake Ontario, from Niagara-on-the-Lake to the town of York (now Toronto), to establish the capital of Upper Canada (now Ontario).",2340 Kingston Rd.,NA,NA,NA,NA,NA,Faded mural in an illustrative style of a large ship sailing near the Scarborough Bluffs.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/H.M.Schooner.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/H.M.Schooner.jpg,Landscape,NA,NA,NA,436,"c(-79.251199, 43.706975)"
3122,Scarborough,3,1,21,Art Discovery Tour,NA,NA,Spooner's Garage,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"These two murals, painted by Phillip Woolf, depict Spooner's Garage, an automobile garage, at two different times in its history: in 1926 and 1947. The owner of the garage, Art Spooner, sustained the business during the Great Depression in the 1930s by supplementing the business with driving lessons, a 24-hour towing service and even a restaurant.",2348 Kingston Rd.,NA,NA,NA,NA,NA,Painted mural depicting an historic garage and gas station with a blue car in front.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/SpoonersGarage.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/SpoonersGarage.jpg,Portrait,NA,NA,NA,437,"c(-79.250958, 43.707053)"
3123,Scarborough,3,1,22,Art Discovery Tour,NA,NA,"The Bluffs As Viewed By Elizabeth Simcoe c, 1793.","Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Painted by artist Risto Turunen, the mural depicts the Scarborough Bluffs rising from Lake Ontario, with a small boat below which represents the boat from which Elizabeth Simcoe, wife of Lieutenant Governor John Graves Simcoe, first saw the bluffs. She was so impressed after seeing the bluffs that she convinced her husband to name the area after a town in England with similar looking cliffs. She wrote in her diary on August 4, 1793, ...after rowing a mile we came within sight of what is named in the map the highlands of Toronto. The shore is extremely bold and has the appearance of chalk cliffs... we talked of building a summer residence there and calling it Scarborough.",2378 Kingston Rd.,NA,NA,NA,NA,NA,Long mural on a wall beside a parking lot of the Scarborough Bluffs and shoreline with a boat in the distance with people paddling on the water to the right.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/TheBluffsasviewedbyElizabethSimcoe.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/TheBluffsasviewedbyElizabethSimcoe.jpg,Landscape,NA,NA,NA,438,"c(-79.250762, 43.707824)"
3124,Scarborough,3,1,23,Art Discovery Tour,NA,NA,Cliffside Golf Course,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"This area used to be the site of a golf course. The Cliffside Golf Club was started in 1931 by George McCordick, when he converted an old farmhouse into a clubhouse. It was closed in 1950 as new housing and commercial development spread along Kingston Road. The golf club had a beautiful view of Lake Ontario. The mural was painted by Dan Sawatzky and restored in 2011 as part of Mural Routes' leadership training program.",2435 Kingston Rd.,NA,NA,NA,NA,NA,Mural depicting a historic gold course with an old car and two golfers.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/CliffsideGolfCourse.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/CliffsideGolfCourse.jpg,Landscape,NA,NA,NA,439,"c(-79.248628, 43.708617)"
3125,Scarborough,3,1,24,Art Discovery Tour,NA,NA,Chrysalis,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Working with themes of metamorphosis, transition and migration, members of a Scarborough storyteller group, Bluffers Tales, told a series of stories that celebrate the experiences of community members who immigrated to Canada. The artists incorporated these stories into the mural. The monarch butterfly is a central figure in the mural; a physical representation of metamorphosis. Chrysalis was created by Mural Routes, painted by artists Leah Burns, Katy Mulla and Ellen Bleiwas.",2446 Kingston Rd.,NA,NA,NA,NA,NA,"A colourful painted mural depicting a oman's portrait, people migrating, and nature and butterlies.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Chrysalis.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/Chrysalis.jpg,Landscape,NA,NA,NA,440,"c(-79.24972, 43.709622)"
3126,Scarborough,3,1,25,Art Discovery Tour,NA,NA,The Half Way House,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Created by John Hood, Half Way House depicts an inn of the same name that stood at the corner of Kingston Road and what is now Midland Avenue. Half Way House was a rural stage coach stop halfway between the village of Dunbarton and the St. Lawrence Market in Toronto. The building served many purposes before being moved to Black Creek Pioneer Village in 1965.",2502 Kingston Rd.,NA,NA,NA,City of Toronto Archives,NA,Painted mural in muted tones of a busy historic street with a building with two-stories of balconies on the right.; A black and white photo of a historic building two-stpry building with balconies across the top and a sign reading The Half Way House.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/HalfwayHouse.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/HalfwayHouse.jpg,Landscape,"HalfwayHouse.jpg, HalfwayHouseTPL.jpg",NA,NA,441,"c(-79.248714, 43.710934)"
3127,Scarborough,3,1,26,Art Discovery Tour,NA,NA,Greeting to Taniperla (at the Scarboro Mission),"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Greeting to Taniperla, initiated by the Red Tree Collective, is a re-creation of a mural painted in Chiapas, Mexico in 1998 by a group of Mayan villagers and later destroyed by Mexican armed forces. The imagery of the original Taniperla mural reflected on Tzeltal Mayan traditions and portrayed ideals of community life. In an act of solidarity, the mural of Taniperla has also been re-created in the towns of Rosario and Bariloche in Argentina. The Toronto project draws attention to the struggle in Chiapas and to issues affecting our own Indigenous communities. Painted by artists Lynn Hutchinson, Claire Carew, Raffael Iglesias, Shelley Niro, Hannah Claus, Sady Ducros with Scarborough youth.",2685 Kingston Rd.,NA,NA,NA,NA,NA,"The back of a cement structure of a handball court, it depicts panels of imagery and words.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/GreetingtoTaniperla.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/GreetingtoTaniperla.jpg,Landscape,NA,NA,NA,442,"c(-79.240041, 43.716644)"
3128,Scarborough,3,1,27,Art Discovery Tour,NA,NA,In The Way of Progress,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"This commemorative mural, painted by Phil, Jennifer and Jamie Richards, depicts passengers boarding a radial car at Stop 17 on the Toronto and York Radial Line, which was located at the nearby junction of St. Clair Avenue and Kingston Road. In the background is Scarborough High School, now R.H. King Academy, which was built in 1922. The mural blends symbols of Scarborough's rural heritage with its development, with both a horse-drawn wagon and cow depicted alongside and a radial car and gas-powered truck. This mural was a Scarborough Bicentennial project, initiated by the Cliffcrest Community Association and managed by Mural Routes.",2835 Kingston Rd.,NA,NA,NA,NA,NA,NA,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/TheWayofProgress.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ScarboroughPlaceholder.png,Portrait,NA,NA,NA,443,"c(-79.236371, 43.721224)"
3129,Scarborough,3,1,28,Art Discovery Tour,NA,NA,Arts Beyond The Road,"Birchcliff, Birchmount Park, Cliffside, Scarborough Village",NA,NA,Destination,Art,NA,NA,"Artist Lauren Kuzyk designed this mural to be inclusive, so that painters of all levels and experience were able to contribute. This beautiful rainbow-coloured mural represents the Scarborough Bluffs. This mural was created as a SPARK Project of Cultural Hotspot as part of Arts on the Road: The Kingston Road Creative Walk 2014. Arts Management students from R.H. King Academy worked together under the direction of Lauren Kuzyk.",2882 Kingston Rd.,NA,NA,NA,NA,NA,"A painted mural of the scarborough bluffs in rainbow colours, a red location marker and the title to the right.",https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/ArtsBeyondtheRoad.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/ArtsBeyondtheRoad.jpg,Landscape,NA,NA,NA,444,"c(-79.235623, 43.722747)"
3130,Scarborough,3,2,0,Past and Present,NA,I,Past and Present,"Oakridge, Birchmount","Walk, Cycle, Drive",2 hours,Tour Description,"Art, History",Take the subway to Victoria Park Station. Your first destination is on the platform.,"Take the Don Valley Parkway southbound and exit to go eastbound onto Eglinton Avenue East. Continue east and turn right onto Victoria Park Avenue. Continue south and turn left into the station parking lot, just north of Danforth Avenue.","This area is home to many independent businesses, historic homes and gathering spots. There is a rich past in these communities, with some of Scarborough's first buildings. Today, this area is a vibrant part of the Scarborough community, enriched by public art, murals, community organizations and more.","Victoria Park Ave., north of Danforth Ave.",NA,NA,NA,Illustration by LeeAndra Cianci,NA,Illustrated map with a pale beige background and illustrated landmards from Victoria Park Avenue to Markham Road along Kingston Road.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Loop3_Tour2.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/Loop3_Tour2.png,Landscape,NA,NA,NA,445,"c(-79.289747, 43.69453)"
3131,Scarborough,3,2,1,Past and Present,NA,NA,Victoria Park Station,"Oakridge, Birchmount",NA,NA,Destination,Art,NA,NA,"The Victoria Park Subway Station opened in 1968. It was one of only two subway stations to be found in Scarborough at the time. Victoria Park was also the second elevated subway station on the network (after Keele, which opened in 1966). The station was renovated in 2009 and reopened in 2010 and now features artwork by designer and environmentalist Aniko Meszaros as part of her installation entitled Roots. The mural depicts a multi-storey tree and root system on the platform stairwell, which was sandblasted into the existing ceramic tile. The word 'community' is written in different languages in circular globes.",777 Victoria Park Ave.,NA,NA,NA,NA,NA,Design of green roots intermingling and coming together on tiled wall of a subway staircase.; Three circles with natural root pattern overlayed on maps of the word community in green in various languages.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/VictoriaParkStationArt.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/VictoriaParkStationArt.jpg,Portrait,"VictoriaParkStationArt.jpg, VictoriaParkStationArt2.jpg, VictoriaParkStation1968.jpg",NA,NA,446,"c(-79.289522, 43.694049)"
3132,Scarborough,3,2,2,Past and Present,NA,NA,Warden Woods,"Oakridge, Birchmount",NA,NA,Destination,Nature,NA,NA,"The township of Scarborough acquired Warden Woods from the Sisters of St. Joseph in 1959. This thickly forested park escaped the clear-cut logging of much of the surrounding area and follows Taylor Massey Creek. It is home to a mature forest and wildlife, and features the Gus Harris Trail, which is named after Scarborough's fifth mayor. Follow the path to see the park's sand banks, which have been left exposed since a glacier formed the valley 12,000 years ago.",125 Pharmacy Ave.,NA,NA,https://www.toronto.ca/data/parks/prd/facilities/complex/441/index.html,NA,NA,A footbridge over a creek along a paved path surrounded by trees with colourful autumn leaves.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/WardenWoods.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/WardenWoods.jpg,Landscape,NA,NA,NA,447,"c(-79.285616, 43.697579)"
3133,Scarborough,3,2,3,Past and Present,NA,NA,Owl Mural,"Oakridge, Birchmount",NA,NA,Destination,Art,NA,NA,"Painted in early 1976 on the wall of MacMillan Auto Sales, the owl mural was a familiar neighbourhood landmark. The owner of MacMillan painted the original owl to go along with the then tagline of the business: 'make the wise choice.' Over time, the condition of the mural deteriorated. Artist De Anne Lamirande collaborated with the new building owner, Gary Bintsis, and painted Wise Owl to keep the neighbourhood icon. Lamirande incorporated the original tree and owl into a new colour scheme.",3206 Danforth Ave.,NA,NA,NA,Ann Brokelman,NA,A great horned owl sitting in a birch tree with a moon in the sky to the left.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/OwlMural.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/OwlMural.jpg,Landscape,NA,NA,NA,448,"c(-79.283401, 43.692529)"
3134,Scarborough,3,2,4,Past and Present,NA,NA,The Crossroads of the Danforth BIA,"Oakridge, Birchmount",NA,NA,Did you know,Community,NA,NA,"The Crossroads of the Danforth BIA was established in 2008 to serve businesses along the Danforth from Victoria Park to Scotia Avenue. The area is especially notable for its automotive businesses. Every year, the BIA presents the Wheels on the Danforth and Light up the Crossroads events.",3345 Danforth Ave.,NA,NA,http://crossroadsbia.ca/,NA,NA,A black and white aerial photo of Danforth Avenue and Danforth Road.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/DanforthDanforthIntersection.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/DanforthDanforthIntersection.jpg,Landscape,NA,NA,NA,449,"c(-79.28067, 43.69273)"
3135,Scarborough,3,2,5,Past and Present,NA,NA,Great Horned Owl Mural,"Oakridge, Birchmount",NA,NA,Destination,Art,NA,NA,"Painted by Magicfinnga WonG, the mural depicts a great horned owl. Below the owl are a number of circular images that include cosmos, landscapes and depictions of fish and feathers painted in the West Coast Art style.",3333 - 3349 Danforth Ave.,NA,NA,NA,Ann Brokelman,NA,A realistic portrait of a great horned owl with various natural and woodland-style designs in circles below.,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/GreatHornedOwlMural_AB.jpg,https://contrib0.wp.intra.dev-toronto.ca/ext/edc/cultural_loops/Scarborough_Web_Photos/Thumbs/GreatHornedOwlMural_AB.jpg,Portrait,NA,NA,NA,450,"c(-79.280562, 43.69282)"
